idata, NOME, BACIA, LATITUDE (ºN), LONGITUDE (ºW), RIO, AREA DRENADA (KM2), DISTANCIA FOZ (KM)
03G/06, FONTE VELHA, LIMA/NEIVA,41.80919396,-8.421633136, RIO LIMA,1728.78,42.92
15E/06, FONTES, LIS/RIBEIRAS COSTEIRAS,39.68763811,-8.779071204, RIO LIS,56.06,36.84
30H/04, FOZ DO RIBEIRO, ARADE,37.30682073,-8.240154055, RIO ARADE,81.98,48.77
07F/03H, FOZ DO SOUSA, DOURO,41.09441222,-8.501283692, RIO SOUSA,555.37,19.62
07H/06, FOZ DO TÂMEGA, DOURO,41.08347984,-8.291826565, RIO TÂMEGA,3310.7,49.29
08H/04H, FRAGAS DA TORRE (INAG), DOURO,40.93947033,-8.180318678, RIO PAIVA,646.68,76.54
16K/06QA, FRATEL, TEJO,39.547188,-7.7938855, , -, -
19L/01, FRONTEIRA, TEJO,39.07087923,-7.649963429, RIBEIRA GRANDE OU DE AVIZ,795.46,210.45
16G/01H, FÁBRICA DA MATRENA, TEJO,39.53204834,-8.379382941, RIO NABÃO,1047.15,163.76
13H/04H, GEVIM, MONDEGO,40.14187195,-8.262492522, RIO AROUCE OU RIBEIRA DE SÃO JOÃO OU DA SARDEIRA,41.36,75.48
24N/02, GODELIM, GUADIANA,38.32792493,-7.262752467, RIBEIRA DE GODELIM,459.41,190.46
05H/04, GOLÃES, AVE/LEÇA,41.46165594,-8.185373006, RIO VIZELA,47.77,69.23
22N/02, GUADIANA/TÁLIGA, GUADIANA,38.59856509,-7.260392901, RIO GUADIANA,51235.18,218.47
04G/10, HOMEM (FISCAL), CÁVADO/RIBEIRAS COSTEIRAS,41.6544035,-8.399808733, RIO HOMEM,193.62,48.04
22N/03, LUCEFÉCIT (EDIA), GUADIANA,38.55662419,-7.301162816, ,427.92,212.25
04E/08, MARACHÃO, CÁVADO/RIBEIRAS COSTEIRAS,41.50697688,-8.716615765, RIO CÁVADO,1502.53,9.18
06G/07, MODELOS, DOURO,41.25967915,-8.395355381, RIO FERREIRA,57.56,50.17
25G/03H, MOINHO DA GAMITINHA, SADO,38.06266449,-8.403596175, RIO SADO,2713.16,112.63
18I/01H, MOINHO NOVO, TEJO,39.22822936,-8.028999525, RIO SÔR,647.05,163.26
27J/01H, MONTE DA PONTE, GUADIANA,37.83272865,-7.861949135, RIO COBRES OU RIBEIRA DE TERGES,454.81,129.04
21O/01H, MONTE DA VINHA, GUADIANA,38.83156638,-7.083452703, RIO GUADIANA,49865.47,257.48
19N/01H, MONTE PISÃO, GUADIANA,39.11128548,-7.273551841, RIO CAIA,221.27,305.44
25P/02H, MÚRTEGA, GUADIANA,38.15811539,-6.97079193, RIBEIRA DA MÚRTEGA,796.38,227.41
26H/01H, NABOS, SADO,37.96413327,-8.283735827, RIBEIRA DO ROXO OU DE SANTA VITÓRIA,554.85,134.17
16K/05H, NOSSA SENHORA DA GRAÇA, TEJO,39.59501345,-7.718310312, RIBEIRA DE NISA,263.23,222.56
30E/05H, ODEÁXERE, RIBEIRAS DO ALGARVE,37.23045242,-8.679989416, RIBEIRO DE ODEÁXERE,18.87,20.43
28K/02H, OEIRAS, GUADIANA,37.66436002,-7.712044031, RIBEIRA DE OEIRAS,467.53,78.41
02E/01, OUTEIRO, MINHO/ÂNCORA,41.88030712,-8.689845541, RIO COURA,166.8,22.56
15D/02, PAREDES VITÓRIA, RIBEIRAS DO OESTE,39.69924972,-8.961074588, RIBEIRA DE S. PEDRO,2.03,12.23
20I/04H, PAVIA, TEJO,38.89597462,-8.002837854, RIBEIRA DE TERA,616.63,161.67
16L/06QA, PERAIS, TEJO,39.63326,-7.613, , -, -
19C/03, PONTE ALENQUER, TEJO,39.0506597,-9.003342727, RIO ALENQUER,118.05,75.11
26G/04H, PONTE ALVALADE/CAMPILHAS, SADO,37.9320326,-8.403974004, RIBEIRA DE CAMPILHAS,698.32,131.4
26G/05H, PONTE ALVALADE/SADO, SADO,37.94092005,-8.383044725, RIO SADO,669.75,131.02
18F/04, PONTE ALVIELA (EN365), TEJO,39.3210128,-8.594787746, RIO ALVIELA,327.38,119.21
04G/07H, PONTE BICO (CÁVADO), CÁVADO/RIBEIRAS COSTEIRAS,41.60608875,-8.430301588, RIO CÁVADO,915.65,41.03
19D/06H, PONTE CADAFAIS, TEJO,39.00237314,-9.004035422, ,106.42,70.08
21F/01, PONTE CANHA, TEJO,38.76534545,-8.616935337, RIO ALMANSOR OU RIBEIRA DE SANTO ESTEVÃO OU DE CANHA,493.8,94.16
19D/05, PONTE COURAÇA, TEJO,39.01555208,-8.9727483, RIO GRANDE DA PIPA,117.7,66.16
02P/02H, PONTE COUÇO (MOIMENTA), DOURO,41.95175506,-6.953048837, RIO TUELA,167.18,279.38
20F/02H, PONTE DE CORUCHE, TEJO,38.95595655,-8.528731935, RIO SORRAIA,5847.16,99.84
20G/01, PONTE ERRA, TEJO,38.994288,-8.457815876, VALA DE ERRA,230.77,108.04
30G/08H, PONTE MESQUITA, RIBEIRAS DO ALGARVE,37.17181809,-8.334216685, RIBEIRA DE ALCANTARILHA OU BARRANCO DO RIBEIRO MEIRINHO,112.79,12.28
09F/01, PONTE MINHOTEIRA, VOUGA/RIBEIRAS COSTEIRAS,40.78174936,-8.509071907, RIO ANTUÃ,111.67,33.18
12H/03H, PONTE MUCELA, MONDEGO,40.25427049,-8.201489986, RIO ALVA OU RIBEIRA DA FERVENÇA,662.76,90.1
19D/04H, PONTE OTA, TEJO,39.1090904,-8.987485041, RIBEIRA DA OTA,57.38,79.37
12M/02H, PONTE PEDRINHA, TEJO,40.23590568,-7.490728333, RIO ZÊZERE,700.56,355.66
30E/04H, PONTE PEREIRO, RIBEIRAS DO ALGARVE,37.31084082,-8.783455293, RIBEIRA DE ALJEZUR OU DA CERCA OU DE CHILRÃO,50.59,10.49
02Q/01H, PONTE RABAL/OLEIRINHOS, DOURO,41.86796078,-6.748112517, RIO SABOR,75.72,309.4
17F/03H, PONTE RIBEIRA DE PERNES, TEJO,39.38997245,-8.660257054, RIO ALVIELA,162.85,134.54
04R/03, PONTE RIO MAÇAS, DOURO,41.67204034,-6.569852074, RIO MAÇÃS,517.73,282.55
31H/02H, PONTE RODOVIÁRIA, RIBEIRAS DO ALGARVE,37.12381098,-8.174200758, RIBEIRA DA QUARTEIRA OU DE ALTE,324.58,8.94
10K/01H, PONTE SANTA CLARA, MONDEGO,40.66616174,-7.681699239, RIO DÃO,174.64,158.87
20E/02, PONTE SANTO ESTEVÃO, TEJO,38.84556673,-8.72069099, RIO ALMANSOR OU RIBEIRA DE SANTO ESTEVÃO OU DE CANHA,979.67,80.03
10F/04, PONTE SÃO JOÃO LOURE, VOUGA/RIBEIRAS COSTEIRAS,40.6268113,-8.543147324, RIO VOUGA,2322.59,27.11
05F/03, PONTE TROFA, AVE/LEÇA,41.34486148,-8.55829289, RIO AVE,986.87,23.17
09G/01, PONTE VALE MAIOR, VOUGA/RIBEIRAS COSTEIRAS,40.69337706,-8.461256798, RIO CAIMA,189.7,48.48
04N/01H, PONTE VALE TELHAS, DOURO,41.63211374,-7.24660455, RIO RABAÇAL,962.78,219.35
18K/01H, PONTE VILA FORMOSA, TEJO,39.21585801,-7.784436094, RIBEIRA DA RAIA OU DE SEDA,664.81,202.1
10G/02H, PONTE ÁGUEDA, VOUGA/RIBEIRAS COSTEIRAS,40.57087263,-8.447534885, RIO ÁGUEDA,404.28,40.96
17F/10, QUINTA DA BROA (NORTE), TEJO,39.36381351,-8.524505374, RIO ALMONDA,221,128.61
06O/08H, QUINTA DAS LARANJEIRAS (INAG), DOURO,41.20814388,-7.059870863, RIO SABOR,3487.51,188.62
04N/06, QUINTA MARAVILHA, DOURO,41.50524432,-7.19764443, RIO TUELA,2565.34,200.77
17E/07, RIBEIRA DE CARVALHO/JUSANTE ETAR, TEJO,39.44700565,-8.669040885, RIBEIRA DO CARVALHO,48.7,148.07
17B/02BM, RIO ARNÓIA, RIBEIRAS DO OESTE,39.38916448,-9.199739932, RIO ARNOIA,387.49,7.54
17B/03BM, RIO CAL, RIBEIRAS DO OESTE,39.40159597,-9.177476307, RIO DA CAL OU LAGOA DE OBIDOS-BRACO DA BARROSA,18.26,8.26
29G/01H, SAPEIRA, ARADE,37.34050644,-8.390392543, RIBEIRA DE ODELOUCA,317.25,49.37
15P/02H, SEGURA (INAG), TEJO,39.81522749,-6.982694054, RIO ERGES,981.8,315.42
21N/01, SENHORA DA AJUDA (EDIA), GUADIANA,38.77253582,-7.181932639, ,50411,245.13
11I/08H, SOBRAL/FERREIRÓS, MONDEGO,40.45432152,-8.046021121, RIO DÃO,1043.96,112.55
06G/06, SOUTO, DOURO,41.22712559,-8.440939723, RIO FERREIRA,94.4,42.75
11K/03, SÃO GIÃO, MONDEGO,40.34177547,-7.816467349, RIO ALVA OU RIBEIRA DA FERVENÇA,120.42,157.78
03F/04, SÃO JOÃO, LIMA/NEIVA,41.77072196,-8.585967577, RIO LIMA,2218.14,26.34
24G/02H, SÃO ROMÃO DO SADO, SADO,38.2522866,-8.359212913, RIO SADO,4649.48,78.23
11E/01, SÃO TOMÉ, VOUGA/RIBEIRAS COSTEIRAS,40.42132012,-8.750248499, RIO VOUGA,215.03,32.54
05G/06, TAIPAS, AVE/LEÇA,41.4902694,-8.3275271, RIO AVE,296.51,59.27
03D/02, VALADA, MINHO/ÂNCORA,41.80454043,-8.8403737, RIO ÂNCORA,63.41,2.4
06L/02H, VALE DE MENDIZ, DOURO,41.23535688,-7.535576416, RIO PINHÃO,246.17,136.29
23K/01H, VENDINHA, GUADIANA,38.4599395,-7.678152371, RIO DEGEBE,821.31,202.08
30F/02H, VIDIGAL, RIBEIRAS DO ALGARVE,37.20378444,-8.606127431, RIBEIRO DO FARELO,18.58,12.01
15E/09, VIDIGAL/LIS, LIS/RIBEIRAS COSTEIRAS,39.72434614,-8.788733301, RIO LIS,113.06,31.86
03M/04H, VILARINHO, DOURO,41.83185281,-7.426922625, RIO TÂMEGA,728.63,192.35
05H/02H, VIZELA SANTO ADRIÃO, AVE/LEÇA,41.37515815,-8.264765325, RIO VIZELA,219.12,55.39
19O/02H, XÉVORA, GUADIANA,39.11721872,-7.039433988, RIO XÉVORA,491.96,303.82
07P/03, ÁGUEDA, DOURO,41.0261647,-6.929534824, RIO ÁGUEDA,2593.46,216.27
